OCC2010	OccGroup	Occupation
2900	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other
2910	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Photographers
2920	ARTS, DESIGN, ENTERTAINMENT, SPORTS, AND MEDIA	Television, Video, and Motion Picture Camera Operators and Editors
3000	HEALTHCARE PRACTITIONERS AND TECHNICAL	Chiropractors
3010	HEALTHCARE PRACTITIONERS AND TECHNICAL	Dentists
3030	HEALTHCARE PRACTITIONERS AND TECHNICAL	Dieticians and Nutritionists
3040	HEALTHCARE PRACTITIONERS AND TECHNICAL	Optometrists
3050	HEALTHCARE PRACTITIONERS AND TECHNICAL	Pharmacists
3060	HEALTHCARE PRACTITIONERS AND TECHNICAL	Physicians and Surgeons
3110	HEALTHCARE PRACTITIONERS AND TECHNICAL	Physician Assistants
3120	HEALTHCARE PRACTITIONERS AND TECHNICAL	Podiatrists
3130	HEALTHCARE PRACTITIONERS AND TECHNICAL	Registered Nurses
3140	HEALTHCARE PRACTITIONERS AND TECHNICAL	Audiologists
3150	HEALTHCARE PRACTITIONERS AND TECHNICAL	Occupational Therapists
3160	HEALTHCARE PRACTITIONERS AND TECHNICAL	Physical Therapists
3200	HEALTHCARE PRACTITIONERS AND TECHNICAL	Radiation Therapists
3210	HEALTHCARE PRACTITIONERS AND TECHNICAL	Recreational Therapists
3220	HEALTHCARE PRACTITIONERS AND TECHNICAL	Respiratory Therapists
3230	HEALTHCARE PRACTITIONERS AND TECHNICAL	Speech Language Pathologists
3240	HEALTHCARE PRACTITIONERS AND TECHNICAL	Therapists, nec
3250	HEALTHCARE PRACTITIONERS AND TECHNICAL	Veterinarians
3260	HEALTHCARE PRACTITIONERS AND TECHNICAL	Health Diagnosing and Treating Practitioners, nec
3300	HEALTHCARE PRACTITIONERS AND TECHNICAL	Clinical Laboratory Technologists and Technicians
3310	HEALTHCARE PRACTITIONERS AND TECHNICAL	Dental Hygienists
3320	HEALTHCARE PRACTITIONERS AND TECHNICAL	Diagnostic Related Technologists and Technicians
3400	HEALTHCARE PRACTITIONERS AND TECHNICAL	Emergency Medical Technicians and Paramedics
3410	HEALTHCARE PRACTITIONERS AND TECHNICAL	Health Diagnosing and Treating Practitioner Support Technicians
3500	HEALTHCARE PRACTITIONERS AND TECHNICAL	Licensed Practical and Licensed Vocational Nurses
3510	HEALTHCARE PRACTITIONERS AND TECHNICAL	Medical Records and Health Information Technicians
3520	HEALTHCARE PRACTITIONERS AND TECHNICAL	Opticians, Dispensing
3530	HEALTHCARE PRACTITIONERS AND TECHNICAL	Health Technologists and Technicians, nec
3540	HEALTHCARE PRACTITIONERS AND TECHNICAL	Healthcare Practitioners and Technical Occupations, nec
3600	HEALTHCARE SUPPORT	Nursing, Psychiatric, and Home Health Aides
3610	HEALTHCARE SUPPORT	Occupational Therapy Assistants and Aides
3620	HEALTHCARE SUPPORT	Physical Therapist Assistants and Aides
3630	HEALTHCARE SUPPORT	Massage Therapists
3640	HEALTHCARE SUPPORT	Dental Assistants
3650	HEALTHCARE SUPPORT	Medical Assistants and Other Healthcare Support Occupations, nec
3700	PROTECTIVE SERVICE	First-Line Supervisors of Correctional Officers
3710	PROTECTIVE SERVICE	First-Line Supervisors of Police and Detectives
3720	PROTECTIVE SERVICE	First-Line Supervisors of Fire Fighting and Prevention Workers
3730	PROTECTIVE SERVICE	Supervisors, Protective Service Workers, All Other
3740	PROTECTIVE SERVICE	Firefighters
3750	PROTECTIVE SERVICE	Fire Inspectors
3800	PROTECTIVE SERVICE	Sheriffs, Bailiffs, Correctional Officers, and Jailers
3820	PROTECTIVE SERVICE	Police Officers and Detectives
3900	PROTECTIVE SERVICE	Animal Control
