IND1990	IndGroup	IndustryTitle
682	RETAIL TRADE	Miscellaneous retail stores
691	RETAIL TRADE	Retail trade, n.s.
700	FINANCE AND INSURANCE	Banking
701	FINANCE AND INSURANCE	Savings institutions, including credit unions
702	FINANCE AND INSURANCE	Credit agencies, n.e.c.
710	FINANCE AND INSURANCE	Security, commodity brokerage, and investment companies
711	FINANCE AND INSURANCE	Insurance
712	REAL ESTATE, RENTAL, AND LEASING	Real estate, including real estate-insurance offices
721	BUSINESS SERVICES	Advertising
722	BUSINESS SERVICES	Services to dwellings and other buildings
731	BUSINESS SERVICES	Personnel supply services
732	BUSINESS SERVICES	Computer and data processing services
740	BUSINESS SERVICES	Detective and protective services
741	BUSINESS SERVICES	Business services, n.e.c.
742	REAL ESTATE, RENTAL, AND LEASING	Automotive rental and leasing, without drivers
750	OTHER SERVICES	Automobile parking and carwashes
751	OTHER SERVICES	Automotive repair and related services
752	OTHER SERVICES	Electrical repair shops
760	OTHER SERVICES	Miscellaneous repair services
761	PERSONAL SERVICES	Private households
762	PERSONAL SERVICES	Hotels and motels
770	PERSONAL SERVICES	Lodging places, except hotels and motels
771	PERSONAL SERVICES	Laundry, cleaning, and garment services
772	PERSONAL SERVICES	Beauty shops
780	PERSONAL SERVICES	Barber shops
781	PERSONAL SERVICES	Funeral service and crematories
782	PERSONAL SERVICES	Shoe repair shops
790	PERSONAL SERVICES	Dressmaking shops
791	PERSONAL SERVICES	Miscellaneous personal services
800	ENTERTAINMENT AND RECREATION SERVICES	Theaters and motion pictures
801	ENTERTAINMENT AND RECREATION SERVICES	Video tape rental
802	ENTERTAINMENT AND RECREATION SERVICES	Bowling centers
810	ENTERTAINMENT AND RECREATION SERVICES	Miscellaneous entertainment and recreation services
812	HEALTHCARE AND SOCIAL ASSISTANCE	Offices and clinics of physicians
820	HEALTHCARE AND SOCIAL ASSISTANCE	Offices and clinics of dentists
821	HEALTHCARE AND SOCIAL ASSISTANCE	Offices and clinics of chiropractors
822	HEALTHCARE AND SOCIAL ASSISTANCE	Offices and clinics of optometrists
830	HEALTHCARE AND SOCIAL ASSISTANCE	Offices and clinics of health practitioners, n.e.c.
831	HEALTHCARE AND SOCIAL ASSISTANCE	Hospitals
832	HEALTHCARE AND SOCIAL ASSISTANCE	Nursing and personal care facilities
840	HEALTHCARE AND SOCIAL ASSISTANCE	Health services, n.e.c.
841	PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	Legal services
842	EDUCATIONAL SERVICES	Elementary and secondary schools
850	EDUCATIONAL SERVICES	Colleges and universities
851	EDUCATIONAL SERVICES	Vocational schools
852	EDUCATIONAL SERVICES	Libraries
860	EDUCATIONAL SERVICES	Educational services, n.e.c.
861	HEALTHCARE AND SOCIAL ASSISTANCE	Job training and vocational rehabilitation services
862	HEALTHCARE AND SOCIAL ASSISTANCE	Child day care services
863	HEALTHCARE AND SOCIAL ASSISTANCE	Family child care homes
870	HEALTHCARE AND SOCIAL ASSISTANCE	Residential care facilities, without nursing
871	HEALTHCARE AND SOCIAL ASSISTANCE	Social services, n.e.c.
872	ENTERTAINMENT AND RECREATION SERVICES	Museums, art galleries, and zoos
873	OTHER SERVICES	Labor unions
880	OTHER SERVICES	Religious organizations
881	OTHER SERVICES	Membership organizations, n.e.c.
882	PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	Engineering, architectural, and surveying services
890	PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	Accounting, auditing, and bookkeeping services
891	PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	Research, development, and testing services
892	PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	Management and public relations services
